theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
7.297297297297297369e+00,7.872911076515099182e+01,1.008165703384341505e+01,-1.073040566273779461e+01,2.253231737307111529e-02
7.342342342342342398e+00,7.824873263674300006e+01,1.008267522147494155e+01,-1.059878820690086521e+01,2.267522533984067321e-02
7.387387387387387427e+00,7.777422894203739645e+01,1.008369984801025154e+01,-1.046957098925108554e+01,2.281820477903670832e-02
7.432432432432432456e+00,7.730549287541542469e+01,1.008473091667936750e+01,-1.034269599857048405e+01,2.296125615881654605e-02
7.477477477477477485e+00,7.684242020490162872e+01,1.008576843073340790e+01,-1.021810696568768151e+01,2.310437994789595051e-02
7.522522522522522515e+00,7.638490919510888943e+01,1.008681239344462277e+01,-1.009574930107760160e+01,2.324757661555292704e-02
7.567567567567567544e+00,7.593286053293499549e+01,1.008786280810640790e+01,-9.975570035053310747e+00,2.339084663163159758e-02
7.612612612612612573e+00,7.548617725589753036e+01,1.008891967803334033e+01,-9.857517760427818132e+00,2.353419046654604135e-02
7.657657657657657602e+00,7.504476468299792202e+01,1.008998300656119795e+01,-9.741542577529846980e+00,2.367760859128417023e-02
7.702702702702702631e+00,7.460853034801145611e+01,1.009105279704698965e+01,-9.627596041463853282e+00,2.382110147741156939e-02
7.747747747747747660e+00,7.417738393510428807e+01,1.009212905286897488e+01,-9.515631111510105100e+00,2.396466959707539701e-02
7.792792792792792689e+00,7.375123721668346377e+01,1.009321177742670095e+01,-9.405602102566273715e+00,2.410831342300828739e-02
7.837837837837837718e+00,7.333000399338990860e+01,1.009430097414101191e+01,-9.297464638536842685e+00,2.425203342853220201e-02
7.882882882882882747e+00,7.291360003614902041e+01,1.009539664645409651e+01,-9.191175607581602236e+00,2.439583008756236043e-02
7.927927927927927776e+00,7.250194303019658548e+01,1.009649879782950066e+01,-9.086693119138944397e+00,2.453970387461116079e-02
7.972972972972972805e+00,7.209495252100224150e+01,1.009760743175215758e+01,-8.983976462643992633e+00,2.468365526479208288e-02
8.018018018018018722e+00,7.169254986201569579e+01,1.009872255172841449e+01,-8.882986067865566326e+00,2.482768473382363644e-02
8.063063063063061975e+00,7.129465816416465884e+01,1.009984416128606277e+01,-8.783683466789920402e+00,2.497179275803325035e-02
8.108108108108108780e+00,7.090120224703571239e+01,1.010097226397436465e+01,-8.686031256982541748e+00,2.511597981436132151e-02
8.153153153153152033e+00,7.051210859167409239e+01,1.010210686336407804e+01,-8.589993066363081908e+00,2.526024638036505551e-02
8.198198198198198838e+00,7.012730529493899212e+01,1.010324796304748851e+01,-8.495533519331251782e+00,2.540459293422252587e-02
8.243243243243242091e+00,6.974672202535587928e+01,1.010439556663843241e+01,-8.402618204185003492e+00,2.554901995473656678e-02
8.288288288288288896e+00,6.937028998040790384e+01,1.010554967777232882e+01,-8.311213641774717331e+00,2.569352792133884275e-02
8.333333333333332149e+00,6.899794184521299201e+01,1.010671030010621330e+01,-8.221287255340365974e+00,2.583811731409377949e-02
8.378378378378378954e+00,6.862961175253342105e+01,1.010787743731874677e+01,-8.132807341480662089e+00,2.598278861370259193e-02
8.423423423423422207e+00,6.826523524406900378e+01,1.010905109311027239e+01,-8.045743042206076723e+00,2.612754230150726720e-02
8.468468468468469013e+00,6.790474923298509680e+01,1.011023127120281906e+01,-7.960064318029604458e+00,2.627237885949466542e-02
8.513513513513512265e+00,6.754809196763068257e+01,1.011141797534014763e+01,-7.875741922051589405e+00,2.641729877030043333e-02
8.558558558558559071e+00,6.719520299640176120e+01,1.011261120928777224e+01,-7.792747374996680243e+00,2.656230251721316063e-02
8.603603603603602323e+00,6.684602313370888282e+01,1.011381097683299046e+01,-7.711052941163404562e+00,2.670739058417832823e-02
8.648648648648649129e+00,6.650049442700786528e+01,1.011501728178491533e+01,-7.630631605248147764e+00,2.685256345580246118e-02
8.693693693693694158e+00,6.615856012485578219e+01,1.011623012797450194e+01,-7.551457050007624794e+00,2.699782161735711852e-02
8.738738738738739187e+00,6.582016464595460548e+01,1.011744951925458480e+01,-7.473503634725203959e+00,2.714316555478303930e-02
8.783783783783784216e+00,6.548525354914755781e+01,1.011867545949989733e+01,-7.396746374448272654e+00,2.728859575469417056e-02
8.828828828828829245e+00,6.515377350433389836e+01,1.011990795260710563e+01,-7.321160919965204350e+00,2.743411270438182031e-02
8.873873873873874274e+00,6.482567226426951379e+01,1.012114700249485111e+01,-7.246723538492007677e+00,2.757971689181874103e-02
8.918918918918919303e+00,6.450089863722205052e+01,1.012239261310376293e+01,-7.173411095040044927e+00,2.772540880566323057e-02
8.963963963963964332e+00,6.417940246045054664e+01,1.012364478839649884e+01,-7.101201034437465864e+00,2.787118893526331284e-02
9.009009009009009361e+00,6.386113457448061581e+01,1.012490353235777718e+01,-7.030071363978350973e+00,2.801705777066082828e-02
9.054054054054052614e+00,6.354604679814761425e+01,1.012616884899440350e+01,-6.960000636674591235e+00,2.816301580259560761e-02
9.099099099099099419e+00,6.323409190438099614e+01,1.012744074233530789e+01,-6.890967935086700358e+00,2.830906352250964209e-02
9.144144144144142672e+00,6.292522359670459053e+01,1.012871921643156803e+01,-6.822952855710820330e+00,2.845520142255121565e-02
9.189189189189189477e+00,6.261939648642771061e+01,1.013000427535645187e+01,-6.755935493900115496e+00,2.860142999557913415e-02
9.234234234234232730e+00,6.231656607050430097e+01,1.013129592320544248e+01,-6.689896429299837521e+00,2.874774973516687135e-02
9.279279279279279535e+00,6.201668871003647610e+01,1.013259416409627001e+01,-6.624816711776052358e+00,2.889416113560681898e-02
9.324324324324324564e+00,6.171972160940156016e+01,1.013389900216894723e+01,-6.560677847819103015e+00,2.904066469191445704e-02
9.369369369369369593e+00,6.142562279598094932e+01,1.013521044158580509e+01,-6.497461787403496558e+00,2.918726089983260732e-02
9.414414414414414622e+00,6.113435110047105780e+01,1.013652848653151572e+01,-6.435150911286886988e+00,2.933395025583565574e-02
9.459459459459459651e+00,6.084586613775678643e+01,1.013785314121313696e+01,-6.373728018731354972e+00,2.948073325713378504e-02
9.504504504504504681e+00,6.056012828832881212e+01,1.013918440986013536e+01,-6.313176315631118918e+00,2.962761040167726997e-02
9.549549549549549710e+00,6.027709868022694195e+01,1.014052229672442884e+01,-6.253479403031300343e+00,2.977458218816069271e-02
9.594594594594594739e+00,5.999673917149191738e+01,1.014186680608041158e+01,-6.194621266023119688e+00,2.992164911602727961e-02
9.639639639639639768e+00,5.971901233310939006e+01,1.014321794222499484e+01,-6.136586263001495567e+00,3.006881168547313049e-02
9.684684684684684797e+00,5.944388143242975531e+01,1.014457570947763720e+01,-6.079359115271556036e+00,3.021607039745158665e-02
9.729729729729729826e+00,5.917131041704868011e+01,1.014594011218038361e+01,-6.022924896991225019e+00,3.036342575367747057e-02
9.774774774774774855e+00,5.890126389913317695e+01,1.014731115469789025e+01,-5.967269025437456520e+00,3.051087825663147818e-02
9.819819819819819884e+00,5.863370714017919738e+01,1.014868884141746719e+01,-5.912377251584327809e+00,3.065842840956445672e-02
9.864864864864864913e+00,5.836860603618674048e+01,1.015007317674911036e+01,-5.858235650981591824e+00,3.080607671650178667e-02
9.909909909909909942e+00,5.810592710323933119e+01,1.015146416512554239e+01,-5.804830614922776633e+00,3.095382368224774625e-02
9.954954954954954971e+00,5.784563746347499347e+01,1.015286181100223217e+01,-5.752148841892437581e+00,3.110166981238983788e-02
